|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| thời trang hapas                        | VND      |                    50 | 0%                      | 0%                                | Cao            |                          89 |                        1018 |                         1273 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| thời trang túi xách nữ                  | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         3059 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui da ca sau nu                        | VND      |                    50 | 0%                      | -100%                             | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui da nu thoi trang                    | VND      |                    50 | 0%                      | 0%                                | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui da nữ                               | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1273 |                         5600 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui da that nu                          | VND      |                    50 | 0%                      | 0%                                | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui nu deo cheo                         | VND      |                    50 | ∞                       | 0%                                | Cao            |                          83 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui vai nu                              | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach ba lo nu                       | VND      |                    50 | -100%                   | -100%                             | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach cam tay nu dep                 | VND      |                    50 | 0%                      | -100%                             | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach cho nu                         | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach cong so nu                     | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach cong so nu cao cap             | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach da ca sau nu                   | VND      |                    50 | 0%                      | 0%                                | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach da nu                          | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach deo cheo nu                    | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach du tiec dep                    | VND      |                    50 | ∞                       | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach dune                           | VND      |                    50 | 0%                      | 0%                                | Cao            |                          95 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach dung laptop nu                 | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach foxer                          | VND      |                    50 | 0%                      | 0%                                | Cao            |                          93 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach hana                           | VND      |                   500 | 0%                      | 0%                                | Trung bình     |                          65 |                        1018 |                         3698 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach n                              | VND      |                    50 | ∞                       | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach naha                           | VND      |                   500 | 900%                    | 0%                                | Cao            |                         100 |                        1018 |                         1527 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu cao cap                     | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        2291 |                         4231 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu cong so                     | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu da bo                       | VND      |                    50 | ∞                       | ∞                                 | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu da ca sau                   | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu da that                     | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu deo cheo                    | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu dep                         | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1718 |                         4073 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu dep sang trong              | VND      |                     0 | 0%                      | 0%                                | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu gia re                      | VND      |                    50 | -100%                   | 0%                                | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu hang hieu                   | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                        1018 |                         8060 |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu hang hieu cao cap           | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu lv                          | VND      |                    50 | 0%                      | 0%                                | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu mau trang                   | VND      |                    50 | 0%                      | -100%                             | Không xác định |                             |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu mini                        | VND      |                    50 | ∞                       | ∞                                 | Cao            |                         100 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
|-----------------------------------------|----------|-----------------------|-------------------------|-----------------------------------|----------------|-----------------------------|-----------------------------|------------------------------|---------------------|--------------------------|--------------------------|-------------|----------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|--------------------|
| tui xach nu thoi trang                  | VND      |                    50 | 0%                      | 0%                                | Thấp           |                           0 |                             |                              |                     |                          |                          |             |          |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
